Word,Count
/,288
the,72
<summary>,72
</summary>,65
{,57
},54
die,52
<param,51
*,51
run,49
in,48
der,47
/</summary>,41
test,35
/<summary>,34
=,34
fuer,33
to,32
public,32
void,30
ist,29
code,28
Use,28
das,25
nicht,25
wird,24
und,23
des,23
instance,22
,21
werden,21
/Test,20
event,19
<see,19
&&,18
wenn,17
an,17
new,17
\name="\sender"\>The\,16
sender.</param>,16
class,16
data.</param>,16
von,16
return,16
Entity,16
\name="\e"\>The\,16
containing,16
alle,16
«this.technicalName»,16
ein,15
Speichern,15
static,15
auf,15
Called,14
before,14
nur,14
each,14
aus,14
after,14
can,14
vom,14
running,14
==,14
when,14
wieder,13
als,13
+,13
or,12
sets,12
Struktur,12
dann,11
String,11
!=,11
if,11
Liste,11
auch,11
//,11
a,11
for,11
zu,11
mit,11
den,10
eine,10
Alle,9
dem,9
sollte,9
oder,9
and,9
im,9
für,9
holen,8
bei,8
[delete,8
hier,8
all,8
as,8
Parameter.</param>,8
functionality,8
*****,8
tests:,7
DataGrid,7
have,7
your,7
MyClassInitialize(TestContext,7
[TestCleanup()],7
TestInitialize,7
TestCleanup,7
kann,7
Entity:,7
current,7
you,7
zum,7
write,7
/TestmandantId,7
MyTestCleanup(),7
context,7
[TestInitialize()],7
/Gets,7
setzen,7
following,7
sind,7
\cref="\System.Windows.Input.ExecutedRoutedEventArgs"\/>\,7
first,7
/und,7
Stellt,7
ClassInitialize,7
use,7
Parameter,7
has,7
Testclasse,7
executed],7
attributes,7
/Dies,7
ClassCleanup,7
/information,7
provides,7
Datenbank-Entität,7
MyTestInitialize(),7
testContext),7
[ClassInitialize()],7
Code,7
about,7
[ClassCleanup()],7
which,7
\cref="\System.Windows.Input.CanExecuteRoutedEventArgs"\/>\,7
Unittests,7
additional,7
tests,7
Gets,7
enthaelt,7
execute],7
You,7
MyClassCleanup(),7
zurückgeben,7
dar,7
\name="\param"\>Der\,6
sie,6
Wenn,6
Focus,6
--,6
Neu,6
Stereotypes,6
beim,6
is,6
nach,6
da,6
getClassPfad2():,6
unterbindet,6
**,6
Sortierung,6
Lookup-Cache,6
entfernen,6
case,6
\"\\,6
Packages,6
master):,6
gelöscht,6
Lookup,6
view,6
(detail,6
[new,6
diese,6
Loeschen,5
Lesen,5
list,5
«Stufe2.parentPackage.technicalName».«Stufe2.technicalName»,5
ins,5
\holen,\,5
+checkSigTypeString(,5
Diese,5
vorkommen,5
noch,5
Workaround:,5
):,5
sig.typ,5
null),5
Service«className»Test,5
!!,5
Pflichtfeld,5
«serviceName»,5
übergeben,5
Verzweigung,5
Ende,5
Änderungen,5
sonst,5
Implementierung,5
<value>The,5
of,5
Bitte,4
Orgeinheiten,4
seiner,4
einfügen,4
«entity.parentPackage.technicalName».«entity.technicalName»,4
mehr,4
timestamp,4
((Clazz)e).iid,4
Bug,4
sich,4
Master,4
Model,4
«IF,4
vm.SendChangesToModel();,4
Script,4
erste,4
Position,4
zurück,4
«ENDIF-»,4
SelectedItems,4
eines,4
Index,4
entity.iid,4
Satzes,4
tree,4
currentItem,4
this.«Panel.technicalName»View.Refresh();,4
private,4
DatenZugriffsSchnittstelle,4
..,4
sein,4
Date:,4
man,4
this,4
Object:,4
Item,4
durch,4
entweder,4
wurde,4
neuen,4
«master.parentPackage.technicalName».«master.technicalName»,4
Master:,4
wegen,4
ViewModels,4
«className»,4
Die,4
alten,4
04/18/2012,4
Items,4
sendenen,4
immer,4
«attribute.technicalName.toFirstUpper()»,4
checkSigTypeString(getDataTypeName(clazz)),4
\"\:Datatype:"\+clazz.semanticName+"\:"\+getDataTypeLength(clazz)+"\:"\+getDataTypeNachKomma(clazz)+"\:"\+\,4
«Stufe3.parentPackage.technicalName».«Stufe3.technicalName»,4
else,4
lineare,4
true,4
-->,4
anzeigen,4
:,4
zuletzt,3
(nicht,3
Löschen,3
\hat,\,3
AS,3
Xceed.SelectionRange,3
es,3
\"\Server/TO/"\\,3
«lookupEntity.technicalName»,3
sender,3
log,3
Initializes,3
Changed,3
eigentlichen,3
Utils,3
Schalter,3
Component,3
damit,3
danach,3
strSortierung,3
geworfen,3
Methode,3
ggf,3
gesetzt,3
Felder,3
vor,3
«NoMasterBinding.parentPackage.technicalName».«NoMasterBinding.technicalName»,3
false;,3
false,3
Baum,3
«ENDFOREACH-»,3
evtl,3
).size,3
Hier,3
können,3
Bug:,3
(master):,3
REGIONS,3
ctor,3
müssen,3
umstellen,3
\wird,\,3
\"\res/Technisches\,3
\<returns>"\«className»A"\</returns>\,3
laden,3
Wechsel,3
Gegenstück,3
manuellen,3
getOrgEinheitenEntity().iid,3
beibehalten,3
einem,3
«packageName».«entityName.toFirstUpper()»Entitaet,3
\Workaround,\,3
OAW,3
getTimeString(),3
Filter,3
gebunden,3
\setzen,\,3
<=,3
PROTECTED,3
selektiert,3
Exception,3
string,3
sortierung,3
erneut,3
gibt,3
Node,3
löschenden,3
Beginn,3
sParser.showVals();,3
break;,3
Generiert,3
Workflow,3
detail):,3
«FOREACH,3
am:,3
model,3
Durch,3
FOR,3
update,3
ob,3
window,3
explizit,3
einpflegen,3
javaCC,3
writing,3
Klasse,3
Namen,3
Save,3
true;,3
aktuellen,3
debugger,3
Für,3
sortiert,3
Attribute,3
einen,3
später,3
falls,3
scroll,2
this.m_CurrentChangingByReplaceAtPosition,2
Sql,2
ansonsten,2
Vorbelegung,2
aktuelle,2
IService«className»Test,2
Stereotype,2
eindeutiger,2
Master-Detail,2
OperationContractParamName,2
getSignature(Node,2
((Clazz)e).aggregations.select(e2|,2
Basisobjekt,2
innerhalb,2
handler,2
\this.params.first()-»"\>Der\,2
\ändern,\,2
uiDialog.getBindingEntityForDialog(),2
Datei,2
TODO,2
bestimmten,2
foreach,2
\"\String"\\,2
haben,2
geändert,2
buffer,2
verwendet,2
Nur,2
Statischen,2
found=false;,2
Dadurch,2
<autogenerated/>,2
«uiDialog.technicalName»,2
datentyp,2
+=,2
Schnittmenge,2
//this.m_CurrentChangingByReplaceAtPosition,2
4889:,2
Druckoptionen,2
13:21:29,2
Tagged,2
Hilfsroutinen,2
GenerateSaveMethod,2
queryfilter,2
1);,2
element,2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,2
Interface,2
Verwaltung,2
\System.out.println("\Child\,2
\cref="\System.Windows.Input.KeyEventArgs"\/>\,2
indicating,2
eigentliche,2
4866,2
WindowViewModel,2
generator.oaw,2
Interaction,2
\otherwise,\,2
erlaubt,2
value,2
throw,2
keine,2
Generator,2
\"\Bezeichnung"\\,2
whether,2
Erzeugen,2
rückgabewerte,2
selektieren,2
Changing,2
this.«uiDialog.technicalName»View.MoveCurrentTo(newVM);,2
Basistyp,2
logic,2
erweiterte,2
DebuggerWriter();,2
«Panel.getUiPartForMasterBinding().technicalName»,2
weiter,2
OrgEinheiten,2
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,2
((Aggregation)e2).iidEnd==((Clazz)e).iid,2
jeder,2
bindung,2
Handles,2
MUSS,2
sinnlos,2
Orgas,2
Wert,2
enthalten,2
(Signature),2
sollen,2
Frage-Objekts:,2
null-»,2
1.),2
\wurde,\,2
File,2
Lookup:,2
\ist,\,2
0-»,2
benötigt,2
</value>,2
datenbankversionsnummer,2
Customcode,2
also,2
deklariert),2
Collection,2
antwortobjekt,2
visibility.</value>,2
view;,2
\name="\«EXPAND\,2
ab,2
(param.«this.technicalName»Entitaet[i].Timestamp,2
Testcase,2
\"\Server/DZS/Jomo.DZS/"\;\,2
schleife,2
1,2
was,2
Bei,2
datensätze,2
<c>true</c>,2
sql,2
11:25:15,2
Nachtrag,2
[UX_ModulUnabhaengig_ArtikelGruppe_1],2
(Bug7938),2
bool,2
eingabe,2
**************,2
Lookups,2
Element,2
4204,2
Nullable,2
visibility,2
StringBuilder();,2
darf,2
aufgrund,2
angewählte,2
Beschaffung,2
WERDEN,2
\"\Id"\:\,2
Prüfungen,2
nummer,2
«attribute.technicalName».</value>,2
IMLEMENTIERT,2
\System.out.println("\\,2
Neuanlegen,2
Custom-,2
<value>,2
childNode.getTextContent();,2
ermitteln,2
zusätzliche,2
Antwort,2
obligatorischen,2
geht,2
unten,2
Gelesene,2
Änderung,2
childNode,2
binden,2
JUnit,2
über,2
node),2
lesen,2
Bedingung,2
ViewModelChilds,2
Autofilter,2
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,2
using,2
Workflows,2
Binding,2
this.«Panel.technicalName»View.MoveCurrentTo(null);,2
aufgerufen,2
output,2
key,2
NM-Zuordnungen,2
anderen,2
bleibt,2
muss,2
LINQ,2
\<returns>"\«this.typ»"\</returns>\,2
berechtigte,2
IsEditEnabled,2
aufbereiten,2
\vorhanden,\,2
[UX_AngebotsPlanung_RezeptGruppe_1],2
weil,2
scripte,2
Satz,2
einlesen,2
On,2
\<returns>"\LookupA"\</returns>\,2
hat,2
remove,2
for(int,2
Task,2
master),2
Enable,2
um,2
Standardeinstellung,2
\"\res/techdesign2_0.xml"\;\,2
