File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\LocMetrics\generator.project\src\extensions\basetypes.ext,124,96,55,1,28,0,0,0,0,0
D:\LocMetrics\generator.project\src\extensions\checkclient.ext,24,16,9,0,8,0,0,0,0,0
D:\LocMetrics\generator.project\src\extensions\checkserver.ext,60,46,15,0,14,0,0,0,0,0
D:\LocMetrics\generator.project\src\extensions\contracts.ext,70,50,30,0,19,0,1,1,0,0
D:\LocMetrics\generator.project\src\extensions\createclientdts.ext,31,25,16,0,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\extensions\createclientpls.ext,305,273,210,1,32,0,0,0,0,0
D:\LocMetrics\generator.project\src\extensions\createclientps.ext,132,119,60,3,11,0,2,6,0,0
D:\LocMetrics\generator.project\src\extensions\createclientto.ext,27,21,12,0,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\extensions\createfdatentypen.ext,39,30,15,1,9,0,0,0,0,0
D:\LocMetrics\generator.project\src\extensions\createserverdzs.ext,32,25,11,2,5,0,2,3,0,0
D:\LocMetrics\generator.project\src\extensions\createserverdzsimpl.ext,42,35,21,2,5,0,2,3,0,0
D:\LocMetrics\generator.project\src\extensions\createservergls.ext,34,27,13,2,5,0,2,3,0,0
D:\LocMetrics\generator.project\src\extensions\createserverks.ext,82,66,35,3,13,0,3,6,0,0
D:\LocMetrics\generator.project\src\extensions\createserverksimpl.ext,42,33,15,2,6,0,3,4,0,0
D:\LocMetrics\generator.project\src\extensions\createserverto.ext,61,44,22,2,9,0,8,17,0,0
D:\LocMetrics\generator.project\src\extensions\createserverunittest.ext,86,71,45,2,13,0,2,3,0,0
D:\LocMetrics\generator.project\src\extensions\createSql.ext,181,154,29,7,20,5,7,72,0,0
D:\LocMetrics\generator.project\src\extensions\createUi.ext,754,522,190,9,203,0,29,68,0,0
D:\LocMetrics\generator.project\src\extensions\Globals.ext,82,62,17,2,16,0,4,20,0,0
D:\LocMetrics\generator.project\src\extensions\GlobalsDataTypes.ext,444,363,87,10,70,0,11,62,0,0
D:\LocMetrics\generator.project\src\extensions\myprojectdata.ext,84,64,31,4,20,0,0,0,0,0
D:\LocMetrics\generator.project\src\extensions\myprojectglobals.ext,329,235,87,4,77,0,17,72,0,0
D:\LocMetrics\generator.project\src\extensions\myprojectmodules.ext,49,39,26,0,10,0,0,0,0,0
D:\LocMetrics\generator.project\src\extensions\myprojectservices.ext,19,13,7,0,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\Aggregation.java,6,3,2,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\Association.java,6,3,2,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\Attribute.java,7,3,2,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\BindingHelper.java,38,32,23,4,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\Clazz.java,110,83,60,13,27,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\ClazzTreeNode.java,31,25,18,3,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\Dependency.java,6,3,2,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\EnumEntry.java,32,22,15,3,10,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\Generalization.java,5,3,2,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\KeyValuePair.java,27,22,15,2,5,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\Method.java,7,3,2,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\Model.java,152,133,84,22,17,0,2,10,0,0
D:\LocMetrics\generator.project\src\myproject\model\ObjectifNode.java,153,127,86,36,18,0,8,44,0,0
D:\LocMetrics\generator.project\src\myproject\model\Package.java,108,85,61,16,23,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\Property.java,5,3,2,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\Relationship.java,93,70,50,10,23,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\Signature.java,111,83,58,10,19,0,9,16,0,0
D:\LocMetrics\generator.project\src\myproject\model\Stereotype.java,58,49,36,7,9,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\StereotypeInstance.java,39,29,20,3,10,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\model\TaggedValueDef.java,52,42,29,8,9,0,1,3,0,0
D:\LocMetrics\generator.project\src\myproject\model\TaggedValueInstance.java,48,44,30,6,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\modelreader\ModelComparer.java,252,220,145,32,31,0,1,5,0,0
D:\LocMetrics\generator.project\src\myproject\modelreader\ModelDumper.java,190,167,98,26,23,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\modelreader\ModelMapper.java,196,142,101,21,28,1,26,102,0,0
D:\LocMetrics\generator.project\src\myproject\modelreader\ModelReader.java,475,398,312,56,56,2,21,58,0,0
D:\LocMetrics\generator.project\src\myproject\modelreader\WorkFlowModel.java,25,20,13,0,4,0,1,4,0,0
D:\LocMetrics\generator.project\src\myproject\signaturparser\SignaturParser.jj,101,86,34,2,11,1,4,9,3,5
D:\LocMetrics\generator.project\src\myproject\signaturParserJava\Param.java,35,31,22,4,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\signaturParserJava\SignaturParser.java,182,165,119,33,15,0,2,4,0,0
D:\LocMetrics\generator.project\src\myproject\signaturParserJava\TesttheParser.java,170,127,95,24,14,0,29,50,0,0
D:\LocMetrics\generator.project\src\myproject\templatetools\Output.java,11,8,5,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\templatetools\TempString.java,16,13,8,2,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\myproject\templatetools\Tools.java,216,167,119,27,32,0,17,101,0,0
D:\LocMetrics\generator.project\src\template\check\Model.xpt,7,5,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\check\CheckClient.xpt,152,134,0,0,18,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\check\CheckServiceContracts.xpt,148,133,1,0,15,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\check\Model.xpt,7,5,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\Advices.xpt,9,7,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\BaseAddin2.xpt,116,99,0,0,17,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\ClientAddin.xpt,17,13,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\ComplexDialog.xpt,65,59,0,0,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\ComplexDialogExtensions.xpt,38,33,0,0,5,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\ComplexDialogRecursive.xpt,149,129,5,0,20,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\Dialog.xpt,96,77,0,0,19,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\DialogBindingTree.xpt,68,53,0,0,15,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\FachMenue.xpt,52,45,0,0,7,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\Lookup.xpt,37,31,0,0,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\Model.xpt,50,37,0,0,13,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\SimpleDialog.xpt,20,17,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\SyntaxTest.xpt,161,129,2,0,32,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\client\samples\TaggedValueTest.xpt,64,55,0,0,9,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\Aggregation.xpt,14,11,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\Association.xpt,14,11,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\Attribute.xpt,16,12,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\Clazz.xpt,44,36,0,0,8,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\Dependency.xpt,14,11,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\EnumEntry.xpt,7,4,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\Generalization.xpt,14,11,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\Method.xpt,16,12,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\Model.xpt,37,31,0,0,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\ObjectifNode.xpt,11,8,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\Package.xpt,50,41,0,0,9,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\Property.xpt,16,12,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\Signature.xpt,22,16,0,0,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\Stereotype.xpt,23,19,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\StereotypeInstance.xpt,13,10,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\TaggedValueDef.xpt,10,7,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\dump\TaggedValueInstance.xpt,11,8,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\server\check\Model.xpt,205,182,0,0,23,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\server\unittest\EntitaetUnitTestDZS.xpt,312,174,102,4,38,0,100,278,0,0
D:\LocMetrics\generator.project\src\template\server\unittest\EntitaetUnitTestGLS.xpt,157,88,51,2,19,0,50,139,0,0
D:\LocMetrics\generator.project\src\template\server\unittest\EntitaetUnitTestKS.xpt,334,187,97,5,47,0,100,278,0,0
D:\LocMetrics\generator.project\src\template\server\unittest\Model.xpt,7,5,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\server\unittest\Package.xpt,95,88,7,0,7,0,0,0,0,0
D:\LocMetrics\generator.project\src\template\server\unittest\UnitTestKS.xpt,160,66,18,4,16,0,78,246,0,0
D:\LocMetrics\generator.project\src\template\statistics\Model.xpt,14,12,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\Aggregation.xpt,14,11,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\Association.xpt,14,11,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\Attribute.xpt,16,12,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\Clazz.xpt,44,36,0,0,8,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\Dependency.xpt,14,11,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\EnumEntry.xpt,7,4,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\Generalization.xpt,14,11,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\Method.xpt,16,12,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\Model.xpt,37,31,0,0,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\ObjectifNode.xpt,11,8,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\Package.xpt,50,41,0,0,9,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\Property.xpt,16,12,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\Signature.xpt,22,16,0,0,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\Stereotype.xpt,23,19,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\StereotypeInstance.xpt,13,10,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\TaggedValueDef.xpt,10,7,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\dump\TaggedValueInstance.xpt,11,8,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\model\myproject.xpt,28,24,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\model\myproject_ohne_SQLSchema.xpt,31,27,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\Converter.xpt,846,751,242,58,95,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\DataContractDialogA.xpt,43,37,8,0,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\DataContractDialogDM.xpt,32,27,4,0,5,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\DataContractDialogDM_Alt.xpt,84,72,10,0,8,0,4,19,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\DataContractDialogF.xpt,38,33,8,0,5,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\DataContractEntityA.xpt,40,37,10,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\DataContractEntityDM.xpt,173,152,42,0,21,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\DataContractEntityF.xpt,55,47,14,0,8,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\DataContractServiceA.xpt,69,64,14,0,5,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\DataContractServiceDM.xpt,51,44,8,0,7,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\DataContractServiceF.xpt,69,64,14,0,5,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\Model.xpt,7,5,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\contracts\Package.xpt,174,162,14,0,12,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types\Model.xpt,8,6,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types\Package.xpt,125,116,11,0,9,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types\TransportobjekteDialogA.xpt,36,31,8,0,5,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types\TransportobjekteDialogDM.xpt,28,24,4,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types\TransportobjekteDialogDM_Alt.xpt,78,66,10,0,8,0,4,19,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types\TransportobjekteDialogF.xpt,33,27,8,0,6,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types\TransportobjekteEntitiesA.xpt,73,54,14,0,7,0,12,42,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types\TransportobjekteEntitiesDM.xpt,568,494,222,34,57,2,17,72,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types\TransportobjekteEntitiesF.xpt,70,54,16,0,5,0,11,37,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types\TransportobjekteServiceA.xpt,104,89,24,0,15,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types\TransportobjekteServiceDM.xpt,46,35,7,0,8,0,3,9,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\base\types\TransportobjekteServiceF.xpt,85,71,17,0,11,0,3,9,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\data\core\Dzs.xpt,103,78,12,3,13,0,12,37,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\data\core\DzsDialog.xpt,661,570,224,38,77,0,14,34,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\data\core\DzsEntity.xpt,134,109,19,4,18,0,7,21,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\data\core\Dzsimpl.xpt,54,34,7,1,12,0,8,25,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\data\core\DzsimplEntity.xpt,923,797,292,45,85,14,41,200,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\data\core\DzsimplEntityLinq.xpt,45,30,3,1,6,0,9,34,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\data\core\DzsimplEntityMethoden.xpt,240,194,74,20,28,1,18,53,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\data\core\Model.xpt,14,11,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\data\core\Package.xpt,85,76,8,0,6,0,3,8,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\data\core\PackageImplementierung.xpt,64,54,3,0,10,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\adapters\FactoryClass.xpt,48,43,6,2,5,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\adapters\Model.xpt,7,5,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\adapters\Package.xpt,85,73,4,0,12,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\adapters\WcfProxy.xpt,211,182,72,14,29,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\base\AppConfig.xpt,196,180,0,0,16,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\base\Model.xpt,8,6,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\base\ModulesAddIns.xpt,50,42,0,0,8,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\pls\Dialogs.xpt,1249,1169,151,30,68,0,12,42,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\pls\Localization.xpt,72,65,0,0,7,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\pls\Model.xpt,19,15,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\pls\PLSAdvancedClassFilter.xpt,107,84,37,6,17,0,6,27,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\pls\PLSClassCommand.xpt,21,19,4,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\pls\PLSClassFilter.xpt,40,30,5,0,3,0,7,27,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\pls\PLSClassPartViewModel.xpt,5915,4963,2350,426,613,9,339,1679,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\pls\PLSClassViewModel.xpt,484,452,170,39,27,1,5,26,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\pls\PLSDruck.xpt,319,248,129,18,55,0,16,117,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\pls\PLSDruckControlViewModel.xpt,409,360,156,32,41,0,8,81,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\ps\Dialogs.xpt,878,846,0,0,32,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\ps\EntityFramework.xpt,25,21,6,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\ps\ExportHelpIndexes.xpt,70,65,10,0,5,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\ps\FilterItems.xpt,356,338,0,0,18,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\ps\Localization.xpt,331,299,0,0,32,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\ps\Model.xpt,48,34,0,0,14,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\ps\PSXaml.xpt,509,488,0,0,21,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\ps\PSXamlControls.xpt,827,744,0,0,83,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\ps\PSXamlCs.xpt,778,682,325,51,71,0,25,128,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\ps\PSXamlDruckControl.xpt,348,298,0,0,50,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\client\ps\PSXamlDruckControlCs.xpt,359,292,187,26,60,0,7,40,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\contracts\Model.xpt,7,5,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\contracts\PackageContracts.xpt,72,62,4,0,10,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\contracts\ServiceContractInterface.xpt,59,52,8,0,7,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\Model.xpt,10,8,0,0,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\PackageServices.xpt,88,76,6,0,12,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\ServiceContractAdapter.xpt,89,71,18,2,18,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\ServiceServices.xpt,619,514,150,33,91,0,14,34,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\ServiceServicesAlt.xpt,513,427,103,27,67,0,19,81,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\WebConfig.xpt,77,68,0,0,9,0,0,0,0,0
